job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary_in_usd,company_location,company_size,job_category,log_salary
Data Science Manager,Senior-level,Full-time,Remote,2024,United States,90000,United States,Medium,Management,11.407564949312402
Data Scientist,Senior-level,Full-time,On-site,2024,United States,242000,United States,Medium,Data Science,12.396693005138824
Data Scientist,Senior-level,Full-time,On-site,2024,United States,106200,United States,Medium,Data Science,11.573079387789976
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,215000,United States,Medium,Machine Learning,12.2783933071098
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,146900,United States,Medium,Machine Learning,11.897507362161969
Applied Scientist,Mid-level,Full-time,On-site,2024,United States,222200,United States,Large,Other,12.311333156187667
Applied Scientist,Mid-level,Full-time,On-site,2024,United States,136000,United States,Large,Other,11.820410164718188
Data Scientist,Mid-level,Full-time,Remote,2024,United States,246000,United States,Medium,Data Science,12.4130868149145
Data Scientist,Mid-level,Full-time,Remote,2024,United States,190000,United States,Medium,Data Science,12.154779351142624
Data Engineer,Mid-level,Full-time,Remote,2024,United States,165000,United States,Medium,Data Engineering,12.013700752882718
Data Engineer,Mid-level,Full-time,Remote,2024,United States,129600,United States,Medium,Data Engineering,11.772208062900312
Business Intelligence Analyst,Mid-level,Full-time,On-site,2024,United States,200400,United States,Medium,Data Analysis,12.208070648192846
Business Intelligence Analyst,Mid-level,Full-time,On-site,2024,United States,126900,United States,Medium,Data Analysis,11.751154653702478
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,322000,United States,Medium,Machine Learning,12.682306824526545
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,230000,United States,Medium,Machine Learning,12.345834587905333
Data Analyst,Senior-level,Full-time,On-site,2024,United States,175520,United States,Medium,Data Analysis,12.075508275509057
Data Analyst,Senior-level,Full-time,On-site,2024,United States,103786,United States,Medium,Data Analysis,11.550086365858355
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,170000,United States,Medium,Other,12.043553716032399
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,130000,United States,Medium,Other,11.77528972943772
Data Scientist,Senior-level,Full-time,On-site,2024,United States,195000,United States,Medium,Data Science,12.180754837545884
Data Scientist,Senior-level,Full-time,On-site,2024,United States,146900,United States,Medium,Data Science,11.897507362161969
Data Scientist,Mid-level,Full-time,Remote,2024,United States,170400,United States,Medium,Data Science,12.045903893377352
Data Scientist,Mid-level,Full-time,Remote,2024,United States,106500,United States,Medium,Data Science,11.575900264131617
Data Analyst,Mid-level,Full-time,On-site,2024,United States,134500,United States,Medium,Data Analysis,11.809319478024031
Data Analyst,Mid-level,Full-time,On-site,2024,United States,100000,United States,Medium,Data Analysis,11.512925464970229
Data Engineer,Mid-level,Full-time,On-site,2024,United States,159000,United States,Medium,Data Engineering,11.976659481202368
Data Engineer,Mid-level,Full-time,On-site,2024,United States,111300,United States,Medium,Data Engineering,11.619984537263637
Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,173400,United States,Medium,Machine Learning,12.063356343328579
Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,99100,United States,Medium,Machine Learning,11.50388472031808
Business Intelligence Engineer,Senior-level,Full-time,On-site,2024,United States,185000,United States,Large,Other,12.128111104060462
Business Intelligence Engineer,Senior-level,Full-time,On-site,2024,United States,79600,United States,Large,Other,11.284769371832475
Data Science,Executive-level,Full-time,Remote,2024,United States,323700,United States,Medium,Other,12.687572439914335
Data Science,Executive-level,Full-time,Remote,2024,United States,190500,United States,Medium,Other,12.157407473548894
Data Scientist,Senior-level,Full-time,On-site,2024,United States,218000,United States,Medium,Data Science,12.292250341771226
Data Scientist,Senior-level,Full-time,On-site,2024,United States,145000,United States,Medium,Data Science,11.884489021402711
Research Scientist,Senior-level,Full-time,On-site,2024,United States,258100,United States,Medium,Other,12.461102385706706
Research Scientist,Senior-level,Full-time,On-site,2024,United States,151900,United States,Medium,Other,11.930977688583864
Data Science,Mid-level,Full-time,On-site,2024,United States,179000,United States,Medium,Other,12.095141084822892
Data Science,Mid-level,Full-time,On-site,2024,United States,106500,United States,Medium,Other,11.575900264131617
Data Scientist,Mid-level,Full-time,On-site,2024,United States,212800,United States,Large,Data Science,12.268108036449627
Data Scientist,Mid-level,Full-time,On-site,2024,United States,111600,United States,Large,Data Science,11.622676328929348
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,166700,United States,Medium,Machine Learning,12.023951068738885
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,150000,United States,Medium,Machine Learning,11.918390573078392
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,220000,United States,Medium,Machine Learning,12.301382825334498
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,170000,United States,Medium,Machine Learning,12.043553716032399
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,418000,United States,Medium,Machine Learning,12.943236711506893
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,141000,United States,Medium,Machine Learning,11.856515169360305
Research Engineer,Senior-level,Full-time,On-site,2024,United States,440000,United States,Medium,Other,12.994530005894443
Research Engineer,Senior-level,Full-time,On-site,2024,United States,100000,United States,Medium,Other,11.512925464970229
Managing Director Data Science,Executive-level,Full-time,Hybrid,2024,United States,260000,United States,Large,Other,12.468436909997665
Data Scientist,Executive-level,Full-time,On-site,2024,United States,246100,United States,Medium,Data Science,12.413493236379146
Data Scientist,Executive-level,Full-time,On-site,2024,United States,181900,United States,Medium,Data Science,12.111212364506214
Machine Learning Engineer,Entry-level,Full-time,On-site,2024,United States,91000,United States,Medium,Machine Learning,11.418614785498987
Machine Learning Engineer,Entry-level,Full-time,On-site,2024,United States,70000,United States,Medium,Machine Learning,11.156250521031495
Business Intelligence Developer,Executive-level,Full-time,On-site,2024,United States,177500,United States,Medium,Other,12.086725887897607
Business Intelligence Developer,Executive-level,Full-time,On-site,2024,United States,117500,United States,Medium,Other,11.67419361256635
Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United States,95000,United States,Medium,Data Analysis,11.461632170582678
Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United States,70000,United States,Medium,Data Analysis,11.156250521031495
Data Science,Senior-level,Full-time,On-site,2024,United States,258720,United States,Medium,Other,12.463501674810933
Data Science,Senior-level,Full-time,On-site,2024,United States,160000,United States,Medium,Other,11.982929094215963
BI Developer,Mid-level,Full-time,On-site,2024,United States,154800,United States,Medium,Other,11.949889240137765
BI Developer,Mid-level,Full-time,On-site,2024,United States,76300,United States,Medium,Other,11.242428217272549
AI Engineer,Mid-level,Full-time,On-site,2024,United States,170200,United States,Medium,Other,12.04472949512141
AI Engineer,Mid-level,Full-time,On-site,2024,United States,83900,United States,Medium,Other,11.337380892455297
Data Engineer,Senior-level,Full-time,Remote,2024,United States,205000,United States,Medium,Data Engineering,12.230765258120545
Data Engineer,Senior-level,Full-time,Remote,2024,United States,165000,United States,Medium,Data Engineering,12.013700752882718
Data Scientist,Mid-level,Full-time,On-site,2024,United States,250000,United States,Medium,Data Science,12.429216196844383
Data Scientist,Mid-level,Full-time,On-site,2024,United States,131600,United States,Medium,Data Science,11.787522297873354
Data Scientist,Senior-level,Full-time,On-site,2024,United States,240000,United States,Medium,Data Science,12.388394202324129
Data Scientist,Senior-level,Full-time,On-site,2024,United States,187000,United States,Medium,Data Science,12.138863895836725
Data Engineer,Mid-level,Full-time,On-site,2024,United States,134600,United States,Medium,Data Engineering,11.810062696192764
Data Engineer,Mid-level,Full-time,On-site,2024,United States,103000,United States,Medium,Data Engineering,11.542484267211773
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,324000,United States,Medium,Machine Learning,12.688498794774466
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,159000,United States,Medium,Machine Learning,11.976659481202368
Data Engineer,Senior-level,Full-time,On-site,2024,United States,385000,United States,Medium,Data Engineering,12.86099861326992
Data Engineer,Senior-level,Full-time,On-site,2024,United States,245000,United States,Medium,Data Engineering,12.409013489526863
Data Scientist,Mid-level,Full-time,On-site,2024,United States,385000,United States,Medium,Data Science,12.86099861326992
Data Scientist,Mid-level,Full-time,On-site,2024,United States,245000,United States,Medium,Data Science,12.409013489526863
Data Engineer,Mid-level,Full-time,On-site,2024,United States,214300,United States,Medium,Data Engineering,12.275132181461668
Data Engineer,Mid-level,Full-time,On-site,2024,United States,108500,United States,Medium,Data Engineering,11.594505451962652
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,245700,United States,Medium,Machine Learning,12.41186655850927
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,132300,United States,Medium,Machine Learning,11.792827350103048
Data Specialist,Mid-level,Full-time,On-site,2024,United States,80000,United States,Medium,Other,11.289781913656018
Data Specialist,Mid-level,Full-time,On-site,2024,United States,73000,United States,Medium,Other,11.198214720130528
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,263500,United States,Medium,Machine Learning,12.481808646963554
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,189360,United States,Medium,Machine Learning,12.151405244187865
Data Architect,Senior-level,Full-time,Remote,2024,United States,175000,United States,Medium,Other,12.072541252905651
Data Architect,Senior-level,Full-time,Remote,2024,United States,125000,United States,Medium,Other,11.736069016284437
Data Science,Executive-level,Full-time,On-site,2024,United States,175762,United States,Medium,Other,12.076886086147141
Data Science,Executive-level,Full-time,On-site,2024,United States,97254,United States,Medium,Other,11.48508139174023
Applied Scientist,Senior-level,Full-time,Remote,2024,United States,218213,United States,Medium,Other,12.293226928974857
Applied Scientist,Senior-level,Full-time,Remote,2024,United States,178538,United States,Medium,Other,12.092556742699063
Research Engineer,Mid-level,Full-time,On-site,2024,United States,440000,United States,Medium,Other,12.994530005894443
Research Engineer,Mid-level,Full-time,On-site,2024,United States,295000,United States,Medium,Other,12.594730635321957
Research Engineer,Mid-level,Full-time,On-site,2024,United States,118600,United States,Medium,Other,11.683511765545763
Research Engineer,Mid-level,Full-time,On-site,2024,United States,96800,United States,Medium,Other,11.480402273264668
Data Scientist,Mid-level,Full-time,On-site,2024,United States,198800,United States,Medium,Data Science,12.20005457320461
Data Scientist,Mid-level,Full-time,On-site,2024,United States,90700,United States,Medium,Data Science,11.415312636103227
Data Engineer,Senior-level,Full-time,On-site,2024,United States,145000,United States,Medium,Data Engineering,11.884489021402711
Data Engineer,Senior-level,Full-time,On-site,2024,United States,115000,United States,Medium,Data Engineering,11.652687407345388
Data Engineer,Senior-level,Full-time,On-site,2024,United States,269100,United States,Medium,Data Engineering,12.502838336714998
Data Engineer,Senior-level,Full-time,On-site,2024,United States,131300,United States,Medium,Data Engineering,11.785240060290887
Research Engineer,Mid-level,Full-time,On-site,2024,United States,245000,United States,Medium,Other,12.409013489526863
Data Analyst,Entry-level,Full-time,On-site,2024,United States,99900,United States,Medium,Data Analysis,11.511924964636645
Data Analyst,Entry-level,Full-time,On-site,2024,United States,83000,United States,Medium,Data Analysis,11.326595886778735
Research Engineer,Mid-level,Full-time,On-site,2024,United States,240960,United States,Medium,Other,12.392386223593666
Research Engineer,Mid-level,Full-time,On-site,2024,United States,190000,United States,Medium,Other,12.154779351142624
Data Architect,Senior-level,Full-time,On-site,2024,United States,178600,United States,Medium,Other,12.092903947424535
Data Architect,Senior-level,Full-time,On-site,2024,United States,67200,United States,Medium,Other,11.115428526511241
Data Visualization Specialist,Mid-level,Full-time,On-site,2024,United States,170200,United States,Medium,Other,12.04472949512141
Data Visualization Specialist,Mid-level,Full-time,On-site,2024,United States,83900,United States,Medium,Other,11.337380892455297
Data Analyst,Senior-level,Full-time,Remote,2024,United States,169000,United States,Medium,Data Analysis,12.037653993905211
Data Analyst,Senior-level,Full-time,Remote,2024,United States,120000,United States,Medium,Data Analysis,11.695247021764184
Research Engineer,Senior-level,Full-time,On-site,2024,United States,450000,United States,Medium,Other,13.017002861746503
Research Engineer,Senior-level,Full-time,On-site,2024,United States,245000,United States,Medium,Other,12.409013489526863
ETL Developer,Senior-level,Full-time,On-site,2024,United States,99500,United States,Medium,Other,11.507912923146684
ETL Developer,Senior-level,Full-time,On-site,2024,United States,53300,United States,Medium,Other,10.883691610153935
Research Engineer,Senior-level,Full-time,On-site,2024,United States,240960,United States,Medium,Other,12.392386223593666
Research Engineer,Senior-level,Full-time,On-site,2024,United States,200800,United States,Medium,Other,12.210064666799711
Data Science Practitioner,Mid-level,Full-time,On-site,2024,United States,170200,United States,Medium,Other,12.04472949512141
Data Science Practitioner,Mid-level,Full-time,On-site,2024,United States,83900,United States,Medium,Other,11.337380892455297
Data Engineer,Mid-level,Full-time,Remote,2024,United States,125000,United States,Medium,Data Engineering,11.736069016284437
Data Engineer,Mid-level,Full-time,Remote,2024,United States,115000,United States,Medium,Data Engineering,11.652687407345388
Data Science,Senior-level,Full-time,On-site,2024,United States,261050,United States,Medium,Other,12.472467238838698
Data Science,Senior-level,Full-time,On-site,2024,United States,187000,United States,Medium,Other,12.138863895836725
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,331640,United States,Medium,Machine Learning,12.711805322230155
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,283780,United States,Medium,Machine Learning,12.555954569061305
Data Analyst,Senior-level,Full-time,On-site,2024,United States,146500,United States,Medium,Data Analysis,11.894780707439258
Data Analyst,Senior-level,Full-time,On-site,2024,United States,96000,United States,Medium,Data Analysis,11.472103470449973
Computer Vision Engineer,Senior-level,Full-time,On-site,2024,United States,235000,United States,Medium,Other,12.367340793126296
Computer Vision Engineer,Senior-level,Full-time,On-site,2024,United States,185000,United States,Medium,Other,12.128111104060462
Data Scientist,Mid-level,Full-time,Remote,2024,United States,140400,United States,Medium,Data Science,11.852250770573848
Data Scientist,Mid-level,Full-time,Remote,2024,United States,90000,United States,Medium,Data Science,11.407564949312402
Research Scientist,Senior-level,Full-time,On-site,2024,United States,440000,United States,Medium,Other,12.994530005894443
Research Scientist,Senior-level,Full-time,On-site,2024,United States,245000,United States,Medium,Other,12.409013489526863
Data Architect,Senior-level,Full-time,On-site,2024,United States,76300,United States,Medium,Other,11.242428217272549
Data Engineer,Senior-level,Full-time,On-site,2024,United States,260000,United States,Medium,Data Engineering,12.468436909997665
Data Engineer,Senior-level,Full-time,On-site,2024,United States,225000,United States,Medium,Data Engineering,12.323855681186558
Data Engineer,Senior-level,Full-time,On-site,2024,United States,165000,United States,Medium,Data Engineering,12.013700752882718
Data Engineer,Senior-level,Full-time,On-site,2024,United States,137000,United States,Medium,Data Engineering,11.827736204810263
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,260000,United States,Large,Other,12.468436909997665
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,136000,United States,Large,Other,11.820410164718188
Data Scientist,Senior-level,Full-time,On-site,2024,United States,296100,United States,Medium,Data Science,12.598452514089683
Data Scientist,Senior-level,Full-time,On-site,2024,United States,144500,United States,Medium,Data Science,11.881034786534624
Research Scientist,Senior-level,Full-time,On-site,2024,United States,278700,United States,Medium,Other,12.53789121347004
Research Scientist,Senior-level,Full-time,On-site,2024,United States,159300,United States,Medium,Other,11.97854449589814
Data Scientist,Senior-level,Full-time,Remote,2024,United States,206000,United States,Medium,Data Science,12.235631447771718
Data Scientist,Senior-level,Full-time,Remote,2024,United States,140250,United States,Medium,Data Science,11.851181823384943
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,100000,United States,Medium,Other,11.512925464970229
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,75000,United States,Medium,Other,11.225243392518447
Data Lead,Senior-level,Full-time,On-site,2024,United States,180000,United States,Medium,Management,12.100712129872347
Data Lead,Senior-level,Full-time,On-site,2024,United States,140000,United States,Medium,Management,11.84939770159144
Data Analyst,Senior-level,Full-time,On-site,2024,United States,116800,United States,Medium,Data Analysis,11.668218349376264
Data Analyst,Senior-level,Full-time,On-site,2024,United States,87600,United States,Medium,Data Analysis,11.380536276924483
Data Scientist,Senior-level,Full-time,On-site,2024,United States,170000,United States,Medium,Data Science,12.043553716032399
Data Scientist,Senior-level,Full-time,On-site,2024,United States,125000,United States,Medium,Data Science,11.736069016284437
Data Architect,Senior-level,Full-time,On-site,2024,United States,283500,United States,Medium,Other,12.554967402149943
Data Architect,Senior-level,Full-time,On-site,2024,United States,149000,United States,Medium,Other,11.911701584927597
ML Engineer,Senior-level,Full-time,On-site,2024,United States,357900,United States,Medium,Machine Learning,12.788008896754118
ML Engineer,Senior-level,Full-time,On-site,2024,United States,189400,United States,Medium,Machine Learning,12.151616459734115
Data Scientist,Senior-level,Full-time,On-site,2024,United States,212000,United States,Medium,Data Science,12.26434155365415
Data Scientist,Senior-level,Full-time,On-site,2024,United States,93400,United States,Medium,Data Science,11.444646624216935
Data Engineer,Senior-level,Full-time,On-site,2024,United States,128656,United States,Medium,Data Engineering,11.76489745478793
Data Engineer,Senior-level,Full-time,On-site,2024,United States,103330,United States,Medium,Data Engineering,11.545683029208401
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,250900,United States,Medium,Machine Learning,12.432809732354514
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,135200,United States,Medium,Machine Learning,11.814510442591
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,414000,United States,Medium,Other,12.933621252807452
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,216000,United States,Medium,Other,12.283033686666302
Data Specialist,Mid-level,Full-time,On-site,2024,United States,69000,United States,Medium,Other,11.141861783579396
Data Specialist,Mid-level,Full-time,On-site,2024,United States,51000,United States,Medium,Other,10.839580911706463
Data Analyst,Senior-level,Full-time,On-site,2024,United States,109000,United States,Medium,Data Analysis,11.59910316121128
Data Analyst,Senior-level,Full-time,On-site,2024,United States,62300,United States,Medium,Data Analysis,11.039716704775545
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,134160,United States,Medium,Other,11.80678839649709
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,72240,United States,Medium,Other,11.187749188090867
Data Analyst,Mid-level,Full-time,On-site,2024,United States,90500,United States,Medium,Data Analysis,11.413105129688017
Data Analyst,Mid-level,Full-time,On-site,2024,United States,42400,United States,Medium,Data Analysis,10.654903641220049
Data Architect,Senior-level,Full-time,On-site,2024,United States,381500,United States,Medium,Other,12.851866129706648
Data Architect,Senior-level,Full-time,On-site,2024,United States,202500,United States,Medium,Other,12.218495165528731
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,257000,United States,Medium,Machine Learning,12.456831363877356
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,129000,United States,Medium,Machine Learning,11.76756768334381
Data Analyst,Entry-level,Full-time,Remote,2024,United States,120000,United States,Medium,Data Analysis,11.695247021764184
Data Analyst,Entry-level,Full-time,Remote,2024,United States,100000,United States,Medium,Data Analysis,11.512925464970229
Data Analyst,Entry-level,Full-time,On-site,2024,United States,80000,United States,Medium,Data Analysis,11.289781913656018
Data Analyst,Entry-level,Full-time,On-site,2024,United States,45700,United States,Medium,Data Analysis,10.729853576882297
Data Science,Senior-level,Full-time,On-site,2024,United States,138000,United States,Medium,Other,11.835008964139341
Data Science,Senior-level,Full-time,On-site,2024,United States,86000,United States,Medium,Other,11.362102575235644
Data Science,Senior-level,Full-time,On-site,2024,United States,152000,United States,Medium,Other,11.931635799828413
Data Science,Senior-level,Full-time,On-site,2024,United States,133200,United States,Medium,Other,11.799607037088427
Data Analyst,Senior-level,Full-time,On-site,2024,United States,135000,United States,Medium,Data Analysis,11.813030057420567
Data Analyst,Senior-level,Full-time,On-site,2024,United States,120000,United States,Medium,Data Analysis,11.695247021764184
Data Engineer,Senior-level,Full-time,On-site,2024,United States,175000,United States,Medium,Data Engineering,12.072541252905651
Data Engineer,Senior-level,Full-time,On-site,2024,United States,150000,United States,Medium,Data Engineering,11.918390573078392
Data Developer,Mid-level,Full-time,On-site,2024,United States,100000,United States,Medium,Other,11.512925464970229
Data Developer,Mid-level,Full-time,On-site,2024,United States,95000,United States,Medium,Other,11.461632170582678
Data Analyst,Senior-level,Full-time,Remote,2024,United States,134200,United States,Medium,Data Analysis,11.807086503519718
Data Analyst,Senior-level,Full-time,Remote,2024,United States,117000,United States,Medium,Data Analysis,11.669929213779893
Research Scientist,Mid-level,Full-time,On-site,2024,United States,179000,United States,Medium,Other,12.095141084822892
Research Scientist,Mid-level,Full-time,On-site,2024,United States,112000,United States,Medium,Other,11.626254150277232
Data Architect,Senior-level,Full-time,On-site,2024,United States,234000,United States,Medium,Other,12.363076394339839
Data Architect,Senior-level,Full-time,On-site,2024,United States,146000,United States,Medium,Other,11.891361900690473
Data Analyst,Entry-level,Full-time,Remote,2024,United States,75065,United States,Medium,Data Analysis,11.226109683846405
Data Analyst,Entry-level,Full-time,Remote,2024,United States,41419,United States,Medium,Data Analysis,10.631494991732007
Data Engineer,Mid-level,Full-time,On-site,2024,United States,107800,United States,Medium,Data Engineering,11.588032937457033
Data Engineer,Mid-level,Full-time,On-site,2024,United States,61600,United States,Medium,Data Engineering,11.02841714952161
ML Engineer,Senior-level,Full-time,On-site,2024,United States,324000,United States,Medium,Machine Learning,12.688498794774466
ML Engineer,Senior-level,Full-time,On-site,2024,United States,159000,United States,Medium,Machine Learning,11.976659481202368
Data Analyst,Entry-level,Full-time,Remote,2024,United States,80000,United States,Medium,Data Analysis,11.289781913656018
Data Analyst,Entry-level,Full-time,Remote,2024,United States,75000,United States,Medium,Data Analysis,11.225243392518447
Research Scientist,Senior-level,Full-time,On-site,2024,United States,179000,United States,Medium,Other,12.095141084822892
Research Scientist,Senior-level,Full-time,On-site,2024,United States,112000,United States,Medium,Other,11.626254150277232
Data Engineer,Senior-level,Full-time,On-site,2024,United States,247300,United States,Medium,Data Engineering,12.418357453509508
Data Engineer,Senior-level,Full-time,On-site,2024,United States,139700,United States,Medium,Data Engineering,11.847252545245054
Data Analyst,Entry-level,Full-time,On-site,2024,United States,93000,United States,Medium,Data Analysis,11.440354772135393
Data Analyst,Entry-level,Full-time,On-site,2024,United States,65750,United States,Medium,Data Analysis,11.093614950040012
Research Scientist,Senior-level,Full-time,On-site,2024,United States,234000,United States,Medium,Other,12.363076394339839
Research Scientist,Senior-level,Full-time,On-site,2024,United States,146000,United States,Medium,Other,11.891361900690473
Data Engineer,Mid-level,Full-time,On-site,2024,United States,130000,United States,Medium,Data Engineering,11.77528972943772
Data Engineer,Mid-level,Full-time,On-site,2024,United States,90800,United States,Medium,Data Engineering,11.416414564589385
Data Engineer,Mid-level,Full-time,On-site,2024,United States,166000,United States,Medium,Data Engineering,12.01974306733868
Data Engineer,Mid-level,Full-time,On-site,2024,United States,73100,United States,Medium,Data Engineering,11.199583645737869
Data Scientist,Mid-level,Full-time,On-site,2024,United States,166000,United States,Medium,Data Science,12.01974306733868
Data Scientist,Mid-level,Full-time,On-site,2024,United States,73100,United States,Medium,Data Science,11.199583645737869
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,186754,United States,Medium,Machine Learning,12.137547521775051
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,101000,United States,Medium,Machine Learning,11.522875795823397
Data Scientist,Senior-level,Full-time,On-site,2024,United States,80000,United States,Medium,Data Science,11.289781913656018
Data Scientist,Senior-level,Full-time,On-site,2024,United States,67500,United States,Medium,Data Science,11.119882876860622
Data Engineer,Senior-level,Full-time,On-site,2024,United States,138000,United States,Medium,Data Engineering,11.835008964139341
Data Engineer,Senior-level,Full-time,On-site,2024,United States,86000,United States,Medium,Data Engineering,11.362102575235644
Data Engineer,Mid-level,Full-time,On-site,2024,United States,106050,United States,Medium,Data Engineering,11.571665959992828
Data Engineer,Mid-level,Full-time,On-site,2024,United States,80420,United States,Medium,Data Engineering,11.295018180451265
